Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Contact,FunctionCall,01-Initial State,01-Vet Diet Post OCR Proc (Post-Combine),Disabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Vet Diet Fax Pending OCR  AND  Incidents > Mailbox  equals  Vet Diet  AND  Custom Field > OCR Failed  not equals  None  AND  Custom Field > OCR Failed  is modified this edit  None)",Call Function F28-Vet Diet Post OCR Fax Routing
Contact,FunctionCall,01-Initial State,01-Vet Diet Post OCR Proc(Post-combine)/,Disabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Vet Diet Fax Pending OCR  AND  Incidents > Mailbox  equals  Vet Diet  AND  Custom Field > OCR Failed  not equals  None  AND  Custom Field > OCR Failed  is modified this edit  None)",Call Function F28-Vet Diet Post OCR Fax Routing
Contact,FunctionCall,01-Initial State,01 - Rx FC Overnight Tracking,Disabled,If (Incidents > Subject  contains  CS Escalation Tracker  AND  Contacts > Email - Primary  equals  no-reply@sharepointonline.com   OR  Contacts > Email - Primary  equals  jlausch@chewy.com  AND  Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  RX),Call Function F01-Email Routing
Contact,FunctionCall,01-Initial State,01-G- Rx FC Overnight Tracking,Enabled,If (Incidents > Subject  contains  CS Escalation Tracker  AND  Contacts > Email - Primary  equals  no-reply@sharepointonline.com   OR  Contacts > Email - Primary  equals  jlausch@chewy.com  AND  Incidents > Incoming Mailbox  equals  RX  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Call Function F01-G Email Routing
Contact,FunctionCall,01-Initial State,01-Inbound FedEx Routing,Disabled,If (Contacts > Email - Primary  contains  @fedex.com  AND  Incidents > Source  equals  Techmail - Service Mailbox  AND  Contacts > Email - Primary  contains  @chewy.com),Call Function F01-Email Routing
Contact,FunctionCall,01-Initial State,01-G-Inbound FedEx Routing,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND  Contacts > Email - Primary  contains  @chewy.com  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Call Function F01-G Email Routing
Contact,FunctionCall,02-Updated State,02-Post OCR Processing,Enabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Rx Pharmacy Fax Pending OCR  AND  Custom Field > OCR State  equals  OCR Completed, Post OCR Complete, [V2] OCR Completed, [V2] OCR Failed)",Call Function F19-Parse Thread for Routing
Contact,FunctionCall,02-Updated State,02-Post OCR Verbals Processing,Enabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  pharmacyteam@chewy.com  OR  Contacts > Email - Primary  equals  verbals@chewy.com )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Rx Pharmacy Fax Pending OCR  AND  Custom Field > OCR State  equals  OCR Completed, Post OCR Complete, [V2] OCR Completed, [V2] OCR Failed)",Call Function F19-Parse Thread for Routing
Contact,FunctionCall,02-Updated State,02-FedEx Exception,Disabled,If (Incidents > Queue  equals  FedEx Exceptions  AND  Incidents > Status  equals  Waiting  AND  Incidents > Status  is modified this edit    AND  Contacts > Email - Primary  contains  @fedex.com),Call Function F01-Email Routing
Contact,FunctionCall,02-Updated State,02g-FedEx Exception,Enabled,If (Incidents > Queue  equals  FedEx Exceptions  AND  Incidents > Status  equals  Waiting  AND  Incidents > Status  is modified this edit    AND  Contacts > Email - Primary  contains  @fedex.com),Call Function F01-G Email Routing
