Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incident,SendEmail,1 - New,No Email In Rule,Enabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Custom Field > Incident Type  not equals  Email),Send Email Response to Sender Include incident details
Incident,SendEmail,1 - New,Send Email Response2,Enabled,If (Incidents > Source  equals  Create a Ticket),Send Email Response to Sender Include incident details
Incident,SendEmail,1 - New,Notification for Training Tickets,Disabled,"If (Incidents > Source  equals  Create a Ticket  AND  Incidents > Response Sent  equals  No  AND  Incidents > Subject  equals  Testing, Training)",Send Email Response to Sender Include incident details
Incident,SendEmail,1 - New,Notification for Tickets,Enabled,"If (Incidents > Source  equals  Management & Config, CX Console, Ticket Editor, Contact Editor, Org Editor, Opportunity Editor, Task Ins Editor, Answer Editor, Mailing Editor, Feedback Editor, Campaign Editor, Document Editor, Mailing Format Editor, Segment Editor, Contact List Editor, Answer propose from Ticket Editor, Opportunity create from Ticket Editor, Analytics Report, Answer Move, Explorer, Ticket multi update, Contact Multi Update, Org Multi Update, Opportunity Multi Update, Task Ins Multi Update, Answer Multi Update, Communication Center Notifications, Custom Object Editor, Custom Object Multi Update, Thin Client, End-User Pages, My Tickets, My Tickets Profiles Contact Update, Pass-Through Authentication, Site Feedback, Feedback Response, Create Login, Marketing Unsubscribe, Feedback Unsubscribe, WAP, Utilities, Techmail - Outreach Mailbox, Agedatabase - Close waiting tickets, Agedatabase - Answer Review, Agedatabase - Answer Publish, Agedatabase - Answer Decay, Rule Escalations, MA RNMD Daemon, Public API, Outlook Synch Tools, Import Tools, KImport (if source not provided), SalesNet Integration, Process Flow, Web Console, Web Console Incident Editor, Web Console Contact Editor, Web Console Org Editor, Web Console Asset Editor, Web Console Opportunity Editor, Web Console Task Editor, Web Console Answer Editor, Web Console Contact List Editor, Web Console Opportunity Create from Incident Editor, Web Console Workflow, Web Console Analytics Report, Web Console Incident Multi Update, Web Console Contact Multi Update, Web Console Org Multi Update, Web Console Opportunity Multi Update, Web Console Task Ins Multi Update, Web Console Answer Multi Update, Web Console Asset Multi Update, Web Console Notification, Web Console Custom Object Editor, Web Console Custom Object Multi Update, Web Console Standard Report, Web Console Workspace, Web Console Search, Web Console Preview, Web Console Reset Password, Web Console Integrations Editor, Element Manager Editor, Unspecified  AND  Incidents > Response Sent  equals  No  AND  Incidents > Subject  not equals  Testing, Training)",Send Email Response to Sender Include incident details
Incident,SendEmail,1 - New,Notification for Tickets CHAT,Enabled,"If (Incidents > Source  equals  Live Chat, WAP, Utilities, Techmail - Outreach Mailbox, Agedatabase - Close waiting tickets, Agedatabase - Answer Review, Agedatabase - Answer Publish, Agedatabase - Answer Decay, Rule Escalations, MA RNMD Daemon, Public API, Outlook Synch Tools, Import Tools, KImport (if source not provided), SalesNet Integration, Process Flow, Web Console Live Chat, Unspecified  AND  Incidents > Response Sent  equals  No  AND  Incidents > Subject  not equals  Knowledge Center (FAQ), Recruit Assist Program, Testing  AND  Incidents > Status  equals  New, CTO Verify)",Send Email Response to Sender Include incident details
Incident,SendEmail,1 - New,Notification for Tickets CHAT Wait,Enabled,"If (Incidents > Source  equals  Live Chat, WAP, Utilities, Techmail - Outreach Mailbox, Agedatabase - Close waiting tickets, Agedatabase - Answer Review, Agedatabase - Answer Publish, Agedatabase - Answer Decay, Rule Escalations, MA RNMD Daemon, Public API, Outlook Synch Tools, Import Tools, KImport (if source not provided), SalesNet Integration, Process Flow, Web Console Live Chat, Unspecified  AND  Incidents > Response Sent  equals  No  AND  Incidents > Subject  not equals  Knowledge Center (FAQ), Recruit Assist Program, Testing  AND  Incidents > Status  equals  Waiting Confirmation)",Send Email Response to Sender Include incident details
Incident,SendEmail,1 - New,Notification for Tickets CHAT solved,Enabled,"If (Incidents > Source  equals  Live Chat, WAP, Utilities, Techmail - Outreach Mailbox, Agedatabase - Close waiting tickets, Agedatabase - Answer Review, Agedatabase - Answer Publish, Agedatabase - Answer Decay, Rule Escalations, MA RNMD Daemon, Public API, Outlook Synch Tools, Import Tools, KImport (if source not provided), SalesNet Integration, Process Flow, Web Console Live Chat, Unspecified  AND  Incidents > Response Sent  equals  No  AND  Incidents > Subject  not equals  Knowledge Center (FAQ), Recruit Assist Program, Testing  AND  Incidents > Status  equals  Closed)",Send Email Response to Sender Include incident details
Incident,SendEmail,2 - In Progress,No Email In Rule update,Enabled,If (Incidents > Source  equals  Techmail - Service Mailbox),Send Email Response to Sender Include incident details
Incident,SendEmail,2 - In Progress,PII Check on Updates,Disabled,"If (Incidents > Updated from  equals  End-User Pages, Techmail - Service Mailbox  AND (  Incidents > Customer thread  match regex  [0-9][0-9][0-9]-[0-9][0-9]-[0-9][0-9][0-9][0-9]|[0-9][0-9][0-9] [0-9][0-9] [0-9][0-9][0-9][0-9]|[0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9]  OR  Incidents > Customer thread  match regex  [0-9][0-9][0-9][0-9]-[0-9][0-9][0-9][0-9]-[0-9][0-9][0-9][0-9]-[0-9][0-9][0-9][0-9]|[0-9][0-9][0-9][0-9] [0-9][0-9][0-9][0-9] [0-9][0-9][0-9][0-9] [0-9][0-9][0-9][0-9]|[0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9]  OR  Incidents > Customer thread  match regex  [0-9][0-9][0-9][0-9]-[0-9][0-9][0-9][0-9][0-9][0-9]-[0-9][0-9][0-9][0-9][0-9]|[0-9][0-9][0-9][0-9] [0-9][0-9][0-9][0-9][0-9][0-9] [0-9][0-9][0-9][0-9][0-9]|[0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9]  OR  Incidents > Customer thread  match regex  Last Four [0-9][0-9][0-9][0-9]|last four [0-9][0-9][0-9][0-9]|Last 4 [0-9][0-9][0-9][0-9]|last 4 [0-9][0-9][0-9][0-9]|xxx-xx-[0-9][0-9][0-9][0-9]|XXX-XX-[0-9][0-9][0-9][0-9]|xxxxx[0-9][0-9][0-9][0-9]|XXXXX[0-9][0-9][0-9][0-9] ))",Email Incident Information to assignee  Email Address .invalid with Subject line PII Queue Staff Member/Group   Distribution List TAC-PII Disto
Incident,SendEmail,2 - In Progress,Severity 1 Notification,Enabled,"If (Incidents > Severity  equals  Critical  AND  Incidents > Severity  is modified this edit    AND  Incidents > Status  equals  New, Reassigned, Client Update, Unresolved Contact, Unresolved TAC, Unresolved DTMO, Unresolved PMO, Unresolved O&S, Unresolved CTO, Unresolved DFAS/GEX, Unresolved Other, Unresolved PPT, Unresolved SPR, Unresolved CIR, Unresolved SCR, Resolved SCR/SPR , CTO Verify, Waiting Confirmation, Closed, Unspecified)",Email Incident Information to assignee  Email Address .invalid with Subject line Severity 1 Incident Notification Staff Member/Group   Distribution List Severity 1 & 2 Distro
