Workspace Name,Bound Object,Target Object,Field Code / Name,Field Label,Workspace Tab Location,"Grid Position (Row, Col)",Required Option,Read Only Option,Object Field ID,Data Type,Is System Field,Is Nullable,Is Lookup,Max Length,In Workspace Layout
Contact_Workspace,Contact,Contact,Contact.Name.First,First,Customer Details,"Row 0, Col 0",Yes,No,1,Text,Yes,No,No,80,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.Name.Last,Last,Customer Details,"Row 0, Col 1",Yes,No,2,Text,Yes,No,No,80,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.Title,Title,Customer Details,"Row 1, Col 0",No,No,3,Text,Yes,Yes,No,40,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.Email,Email,Customer Details,"Row 1, Col 1",Yes,No,4,Text,Yes,No,No,255,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.PhOffice,Office Phone,Customer Details,"Row 2, Col 0",No,No,5,Phone,Yes,Yes,No,40,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.PhMobile,Mobile Phone,Customer Details,"Row 2, Col 1",No,No,6,Phone,Yes,Yes,No,40,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.CId,CId,Customer Details,"Row 3, Col 0",No,Yes,7,Integer,Yes,No,Yes,—,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.Created,Created,Customer Details,"Row 3, Col 1",No,Yes,8,Date Time,Yes,No,No,—,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.Updated,Updated,Customer Details,"Row 4, Col 0",No,Yes,9,Date Time,Yes,No,No,—,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.Disabled,Disabled,Customer Details,"Row 4, Col 1",No,No,10,Yes/No,Yes,No,No,—,Yes (Layout Used)
Contact_Workspace,Contact,Contact,Contact.CtypeId,CtypeId,Customer Details,"Row 5, Col 0",No,No,11,Menu,Yes,Yes,Yes,—,Yes (Layout Used)
