Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incidents,FunctionCall,01-Initial State,01-Object Detail Logging,Enabled,If (),Call Function F34-US & CA-Object Detail Logging***
Incidents,FunctionCall,01-Initial State,01-CA-Inbound General Email,Enabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Mailbox  equals  chewyca@custhelp.com),Call Function F50-CA-Email Routing
Incidents,FunctionCall,01-Initial State,01-CA-Inbound AAQ,Enabled,If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Unspecified  AND  Incidents > Interface  equals  chewyca),Call Function F56-CA-Chewy Contact Us Routing
Incidents,FunctionCall,01-Initial State,01-CA 24hr Auto assign Escalation,Enabled,"If (Custom Field > Request Type  equals  Item/Assortment Update Request, Request to Receive Audit Reports, Item Copy or Image Update, Cost Update Request, Document failure/rejection, EDI invoicing issue, Carrier EDI Issue, Invoice Payment Disputes, Payment/Invoice Issues or Status, Payment Remittance Request, Update MAP/MSRP, MAP Violation, Technical Questions for RTS, Transportation Escalations, Accessorial Request, Invoice Hold Resolution, Demand Forecasting Inquires, Lead Time Inquires, Ordering Cadence Inquires, Item Availability Dates or OOS Updates, Item Copy (Existing Products)  AND  Incidents > Interface  equals  chewyca)",Call Function F67-CA 24 Hrs Auto Assignment
Incidents,FunctionCall,01-Initial State,01-CA-Inbound Vendor Portal AAQ,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Item/Assortment Transition, Item/Assortment Update Request, Item Discontinuation Submission, Assortment/Content/Marketing, Request to Receive Audit Reports, Brand Info Sheet for Customer Service, Charegebacks, Item Copy or Image Update, Cost Disputes, Cost Rejection Disputes, Cost Update Request, Create or modify Appointment, Customer Satisfaction Claims, Damage Claims, Document failure/rejection, Dropship Sticker Request, Dropship Vendor Performance Appeal, DSCO Questions/Issues, EDI invoicing issue, Carrier EDI Issue, General Questions, Invoice Payment Disputes, Payment/Invoice Issues or Status, Marketing Request, Mis-shipments , Item/Assortment Setup Request, New Vendor Follow-up, Setup EDI Account, Other Questions, Payment Remittance Request, Playbook Questions, Purchase Order (PO) Issues, Rebate Dispute or Backup Request, Rebate/Term Changes or Questions, Recall/Quality Concerns, Resale Certificate Request, Update MAP/MSRP, MAP Violation, Return to Vendor, Dropship Shipping or Ordering Questions, Shipping or Ordering Questions, Update Preferred Contact List, Vendor Compliance Manual, Vendor Data Services, Vendor Account Information Update, Vendor Performance Scorecard Questions, Violations, Vendor Wanting to join Chewy Collect, Collect Vendor Creating New OTM Profile, Collect Vendor Change/Update RTS Info, Technical Questions for RTS, Transportation Escalations, Accessorial Request, Contact Follow-Up, Report Technical Issue, Purchase Unit of Measure Update, Catalog Audit, Invoice Hold Resolution, Demand Forecasting Inquires, Lead Time Inquires, Ordering Cadence Inquires, Item Availability Dates or OOS Updates, New International Vendor Submission, Contact and Address Update, Banking Information Update, Certificate of Insurance Renewal, Vendor Merger & Acquisition, Rebate Backup Request - Promo & Lumpsum, Rebate Backup Request - Allowances & POs, Rebate Disputes - Promotion & Lumpsums, Rebate Disputes - Allowances & POs, Category Manager Contact  AND  Incidents > Interface  equals  chewyca)",Call Function F57-CA-Vendor Communication Portal AAQ
Incidents,FunctionCall,01-Initial State,01-CA-Inbound Vendor Portal AAQ - Feedba,Enabled,If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Feedback or Suggestions  AND  Incidents > Interface  equals  chewyca),Call Function F57-CA-Vendor Communication Portal AAQ
Incidents,FunctionCall,01-Initial State,01-CA-Inbound Central Scheduling Cofirm,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Create or Modify Appointment, Reschedule Appt  AND  Incidents > Interface  equals  chewyca)",Call Function F55-CA-Central Scheduling
Incidents,FunctionCall,01-Initial State,01-CA-Inbound Central Scheduling New ord,Enabled,If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Message or Question  AND  Incidents > Interface  equals  chewyca),Call Function F55-CA-Central Scheduling
Incidents,FunctionCall,01-Initial State,01-CA-Inbound Call,Disabled,"If (Incidents > Source  equals  CX Console, Incident Editor, Contact Editor, Org Editor, Opportunity Editor, Task Ins Editor, Answer Editor, Mailing Editor, Survey Editor, Campaign Editor, Document Editor, Mailing Format Editor, Segment Editor, Contact List Editor, Answer Propose from Incident Editor, Opportunity Create from Incident Editor, Analytics Report, Answer Move, Explorer, Incident Multi Update, Contact Multi Update, Org Multi Update, Opportunity Multi Update, Task Ins Multi Update, Answer Multi Update, Communication Center Notifications, Custom Object Editor, Custom Object Multi Update, Virtual Assistant Editor, Workflow, Asset Editor, Asset Multi-Edit Editor, Console Standard Report, Console Workspace, Console Search, Console Preview, Console Preview, Console External Interface, Console Add-In, Console Reset Password, Web Console, Web Console Incident Editor, Web Console Contact Editor, Web Console Org Editor, Web Console Asset Editor, Web Console Task Editor, Web Console Answer Editor, Web Console Contact List Editor, Web Console Workflow, Web Console Analytics Report, Web Console Incident Multi Update, Web Console Contact Multi Update, Web Console Org Multi Update, Web Console Opportunity Multi Update, Web Console Task Ins Multi Update, Web Console Answer Multi Update, Web Console Asset Multi Update, Web Console Notification, Web Console Custom Object Editor, Web Console Custom Object Multi Update, Web Console Standard Report, Web Console Workspace, Web Console Search, Web Console Preview, Web Console Reset Password  AND  Incidents > Category  not equals  Central Scheduling, Pharmacy, My Vet Order, Workforce Management, Card Writing Process, Fulfillment Center, Product Merch, Sample Center, Supply Planning, Vendor Compliance  AND  Incidents > Mailbox  equals  chewyca@custhelp.com  AND  Incidents > Queue  not equals  CA - General Email, CA - Tiger Team Escalation, CA - Tiger Team Pet Form, CA - Tiger Team Urgent)",Call Function F51-CA-Case Update
Incidents,FunctionCall,01-Initial State,01-G-CA-Inbound Call,Enabled,"If (Incidents > Category  not equals  Central Scheduling, Pharmacy, My Vet Order, Workforce Management, Card Writing Process, Fulfillment Center, Product Merch, Sample Center, Supply Planning, Vendor Compliance  AND  Incidents > Mailbox  equals  chewyca@custhelp.com  AND  Incidents > Queue  equals  Unspecified, CA - Customer Service)",Call Function F51-CA-Case Update
Incidents,FunctionCall,01-Initial State,01-CA-NPS Import,Enabled,"If (Incidents > Source  equals  Import Tools  AND  Incidents > Queue  equals  CA - NPS, CA - NPS Duplicates  AND  Incidents > Interface  equals  chewyca)",Call Function F59-CA-NPS Routing
Incidents,FunctionCall,01-Initial State,01-CA-Inbound Chat,Disabled,"If (Incidents > Source  equals  Live Chat, Web Console Live Chat  AND  Incidents > Category  not equals  Esco Chat, Card Writing Process  AND  Incidents > Queue  not equals  CA - ESCO  AND  Incidents > Interface  equals  chewyca)",Call Function F51-CA-Case Update
Incidents,FunctionCall,01-Initial State,01-No Reply Email,Disabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  No Reply),Call Function F22-No Reply Email
Incidents,FunctionCall,01-Initial State,01-No Reply Email NEW,Enabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  No Reply),Call Function F22-No Reply Email
Incidents,FunctionCall,01-Initial State,01 - AS Email Issue TEMP RULE,Disabled,If (Incidents > Incoming Mailbox  equals  No Reply  AND  Incidents > Subject  contains  Your Order is About to Ship. Any Add-ons?),Call Function F01-Email Routing
Incidents,FunctionCall,01-Initial State,01 - Inbound Post-OCR Routing [OCRv3],Enabled,If (Incidents > Source  equals  Connect PHP  AND  Custom Field > OCR State  equals  [V3] OCR Completed),Call Function F35-Inbound Fax Routing
Incidents,FunctionCall,01-Initial State,01-Post OCR Processing (Post-Combine),Disabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Rx Pharmacy Fax Pending OCR  AND  Custom Field > OCR Failed  not equals  None  AND  Custom Field > OCR Failed  is modified this edit  None)",Call Function F19-Parse Thread for Routing
Incidents,FunctionCall,01-Initial State,01-Post Rx OCR Proc (Post-Combine),Enabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Rx Pharmacy Fax Pending OCR  AND  Custom Field > OCR State  equals  OCR Completed, Post OCR Complete, [V2] OCR Completed, [V2] OCR Failed)",Call Function F19-Parse Thread for Routing
Incidents,FunctionCall,01-Initial State,01-Post VetDiet OCR2 Proc (Post-Combine),Enabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Vet Diet Fax Pending OCR  AND  Custom Field > OCR State  equals  OCR Completed, Post OCR Complete, [V2] OCR Completed, [V2] OCR Failed)",Call Function F28-Vet Diet Post OCR Fax Routing
Incidents,FunctionCall,01-Initial State,01-Q&A Email,Disabled,"If (Incidents > Source  equals  CX Console, Incident Editor, Contact Editor, Org Editor, Opportunity Editor, Task Ins Editor, Answer Editor, Mailing Editor, Survey Editor, Campaign Editor, Document Editor, Mailing Format Editor, Segment Editor, Contact List Editor, Answer Propose from Incident Editor, Opportunity Create from Incident Editor, Analytics Report, Answer Move, Explorer, Incident Multi Update, Contact Multi Update, Org Multi Update, Opportunity Multi Update, Task Ins Multi Update, Answer Multi Update, Communication Center Notifications, Custom Object Editor, Custom Object Multi Update, Virtual Assistant Editor, Workflow, Asset Editor, Asset Multi-Edit Editor, Console Standard Report, Console Workspace, Console Search, Console Preview, Console Preview, Console External Interface, Console Add-In, Console Reset Password, Web Console, Web Console Incident Editor, Web Console Contact Editor, Web Console Org Editor, Web Console Asset Editor, Web Console Task Editor, Web Console Answer Editor, Web Console Contact List Editor, Web Console Workflow, Web Console Analytics Report, Web Console Incident Multi Update, Web Console Contact Multi Update, Web Console Org Multi Update, Web Console Opportunity Multi Update, Web Console Task Ins Multi Update, Web Console Answer Multi Update, Web Console Asset Multi Update, Web Console Notification, Web Console Custom Object Editor, Web Console Custom Object Multi Update, Web Console Standard Report, Web Console Workspace, Web Console Search, Web Console Preview, Web Console Reset Password  AND  Incidents > Category  not equals  Central Scheduling, Pharmacy, Workforce Management, Card Writing Process, Fulfillment Center, Product Merch, Sample Center  AND  Incidents > Mailbox  equals  Chewy  AND  Incidents > Queue  equals  Q&A)",Call Function F04-Case Update
Incidents,FunctionCall,01-Initial State,01-G-Q&A Email,Enabled,"If (Incidents > Source  equals  CX Console, Incident Editor, Contact Editor, Org Editor, Opportunity Editor, Task Ins Editor, Answer Editor, Mailing Editor, Survey Editor, Campaign Editor, Document Editor, Mailing Format Editor, Segment Editor, Contact List Editor, Answer Propose from Incident Editor, Opportunity Create from Incident Editor, Analytics Report, Answer Move, Explorer, Incident Multi Update, Contact Multi Update, Org Multi Update, Opportunity Multi Update, Task Ins Multi Update, Answer Multi Update, Communication Center Notifications, Custom Object Editor, Custom Object Multi Update, Virtual Assistant Editor, Workflow, Asset Editor, Asset Multi-Edit Editor, Console Standard Report, Console Workspace, Console Search, Console Preview, Console Preview, Console External Interface, Console Add-In, Console Reset Password, Web Console, Web Console Incident Editor, Web Console Contact Editor, Web Console Org Editor, Web Console Asset Editor, Web Console Task Editor, Web Console Answer Editor, Web Console Contact List Editor, Web Console Workflow, Web Console Analytics Report, Web Console Incident Multi Update, Web Console Contact Multi Update, Web Console Org Multi Update, Web Console Opportunity Multi Update, Web Console Task Ins Multi Update, Web Console Answer Multi Update, Web Console Asset Multi Update, Web Console Notification, Web Console Custom Object Editor, Web Console Custom Object Multi Update, Web Console Standard Report, Web Console Workspace, Web Console Search, Web Console Preview, Web Console Reset Password  AND  Incidents > Category  not equals  Central Scheduling, Pharmacy, Workforce Management, Card Writing Process, Fulfillment Center, Product Merch, Sample Center  AND  Incidents > Mailbox  equals  Chewy  AND  Incidents > Queue  equals  Q&A)",Call Function F04-Case Update
Incidents,FunctionCall,01-Initial State,01-Inbound General Email -AutoReply,Disabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  Chewy),Call Function F01-Email Routing
