Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Contact,SetField,01-Initial State,Temp Rule to set 'ppauto' emails to Solved for UAT,Enabled,If (Contacts > Email - Primary  contains  ppauto-),Set Field Incidents > Status assign as Solved
Contact,SetField,01-Initial State,01-FedEx - discard Emails,Enabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Contacts > Email - Primary  contains  @chewy.com  AND (  Incidents > Subject  match regex  FedEx has received your email - Email Reference Number: .  OR  Incidents > Subject  match regex  FedEx Shipment .+ Your package has been delivered  OR  Incidents > Subject  match regex  FedEx Shipment .+ Your package is scheduled for delivery tomorrow  OR  Incidents > Subject  match regex  FedEx Shipment .+ This shipment was tendered to FedEx Ground  OR  Incidents > Subject  match regex  FedEx Shipment .+ Notification  OR  Incidents > Subject  match regex  FedEx Shipment .+ Some of your packages could not be delivered.  OR  Incidents > Subject  match regex  FedEx Shipment .+ Your package is now out for delivery today  OR  Incidents > Subject  match regex  edEx Customer Survey - Email Reference Number .+  OR  Incidents > Subject  match regex  FedEx Shipment .+ Your package is delayed.  OR  Incidents > Subject  match regex  FedEx Shipment .+ Your packages are now out for delivery  OR  Incidents > Subject  match regex  FedEx Shipment .+ Some of your packages are now out for delivery today  OR  Incidents > Subject  match regex  FedEx Shipment .+ Your package delivery has been updated  OR  Incidents > Subject  match regex  FedEx Shipment .+ Your package is now out for delivery today  OR  Incidents > Subject  match regex  FedEx Address Corrections|FedEx Request|FedEx Reroute Request|FedEx Rstatus Reroutes|FedEx Shipper Complaints|Shipment Details Needed|FedEx Values Your Feedback|FedEx Customer Care Survey  OR  Incidents > Subject  match regex  Tell us about your recently closed FedEx case experience|FedEx Ground EPDI Reconciliation|Status of FedEx Case  OR  Incidents > Subject  match regex  FedEx Case Number C .+ Ref .+ for Tracking Number .+ )),Set Field Incidents > Assigned assign as Kelly Williamson
Contact,SetField,01-Initial State,Test Rule ZC,Disabled,If (Contacts > Email - Primary  equals  zcordell@chewy.com),Set Field Incidents > Queue assign as Rx Pharmacy Fax Pending OCR
Contact,SetField,01-Initial State,01- Vendor Portal Auto Reply,Enabled,"If (Incidents > Source  equals  Utilities  AND  Incidents > Incoming Mailbox  equals  Chewy Merch, Chewy Accounting, Chewy EDI, Chewy Vendor Service Portal, Chewy Transportation  AND  Contacts > Email - Primary  does not contain  @sps.com  AND  Contacts > Email - Primary  does not contain  @ibm.com)",Set Field Custom Field > Channel assign as Email | Set Field Incidents > Status assign as Solved | Set Field Incidents > Category assign as Automatic Email Reply | Set Field Incidents > Queue assign as Vendor Specialists
Contact,SetField,01-Initial State,01-Vet Diet Post OCR Proc (Post-Combine),Disabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Vet Diet Fax Pending OCR  AND  Incidents > Mailbox  equals  Vet Diet  AND  Custom Field > OCR Failed  not equals  None  AND  Custom Field > OCR Failed  is modified this edit  None)",Set Field Incidents > Queue assign as Vet Diet Fax | Set Field Custom Field > OpenMethods Status assign as OCRpending | Set Field Incidents > Disposition assign as Unspecified
Contact,SetField,01-Initial State,01-Inbound Open Methods Training Email,Disabled,If (Incidents > Incoming Mailbox  equals  Chewy  AND  Contacts > Email - Primary  equals  training@chewy.com),Set Field Custom Field > Channel assign as Email | Set Field Custom Field > OpenMethods Status assign as initial | Set Field Incidents > Queue assign as General Email Overflow
Contact,SetField,01-Initial State,01-G-Inbound Open Methods Training Email,Enabled,If (Incidents > Incoming Mailbox  equals  Chewy  AND  Contacts > Email - Primary  equals  training@chewy.com  AND  Incidents > Queue  equals  General Email Overflow  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Set Field Custom Field > Channel assign as Email | Set Field Custom Field > OpenMethods Status assign as initial
Contact,SetField,01-Initial State,01-Inbound FedEx Routing,Disabled,If (Contacts > Email - Primary  contains  @fedex.com  AND  Incidents > Source  equals  Techmail - Service Mailbox  AND  Contacts > Email - Primary  contains  @chewy.com),Set Field Custom Field > Channel assign as Email | Set Field Custom Field > Routing Tags assign as [none]
Contact,SetField,01-Initial State,01-G-Inbound FedEx Routing,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND  Contacts > Email - Primary  contains  @chewy.com  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Set Field Custom Field > Channel assign as Email | Set Field Custom Field > Routing Tags assign as [none]
Contact,SetField,02-Updated State,02-Vet Diet Post OCR Processing,Enabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Vet Diet Fax Pending OCR  AND  Incidents > Mailbox  equals  Vet Diet  AND  Custom Field > OCR State  equals  OCR Completed, Post OCR Complete, [V2] OCR Completed, [V2] OCR Failed)",Set Field Incidents > Queue assign as Vet Diet Fax | Set Field Custom Field > OpenMethods Status assign as OCRpending | Set Field Incidents > Disposition assign as Unspecified
Contact,SetField,04-Pharmacy State,04- Set State to NV (NP),Disabled,If (Contacts > State/Province  equals  NV  AND (  Custom Field > Customer State/Province  equals  Unspecified  OR  Custom Field > Customer State/Province  not equals  NV )),Set Field Custom Field > Customer State/Province assign as NV
Contact,SetField,05-Chewy Vet Care,05-00b Assign PMR to agent on blank email,Enabled,If (Contacts > Email - Primary  is null    AND  Incidents > Queue  equals  CVC Medical Request),Set Field Incidents > Queue assign as CVC Medical Request | Set Field Incidents > Status assign as Waiting | Set Field Incidents > Disposition assign as CVC Medical Records Request | Set Field Incidents > Category assign as Previous Medical Records Request | Set Field Incidents > Mailbox assign as Vet Care Medical Records | Set Field Custom Field > OpenMethods Status assign as pre-initial
Contact,SetField,F01-Email Routing,01-Route to Andrew Stein,Disabled,If (Contacts > Email - Primary  equals  ejbatema@comcast.net  OR  Contacts > Email - Primary  equals  bhn@elaiproject.org  OR  Contacts > Email - Primary  equals  thinktanky@gmail.com),Set Field Incidents > Assigned assign as Andrew Stein
Contact,SetField,F01-Email Routing,01-Route to Elliot Basner,Disabled,If (Contacts > Email - Primary  equals  sandra.costello2011@gmail.com),Set Field Incidents > Assigned assign as Elliot Basner
