Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incidents,AppendTemplate,01-Initial State,01-CA-Cancel my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)cancel(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  chewyca@custhelp.com)",Append Response Template to Notes Dup Order Call to Action -Confirm Cancel
Incidents,AppendTemplate,01-Initial State,01-CA-Ship my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)ship(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  chewyca@custhelp.com)",Append Response Template to Notes Dup Order Call to Action -Confirm Order
Incidents,AppendTemplate,01-Initial State,01-CA-Inbound Vendor Portal AAQ - Send Email,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Incidents > Interface  equals  chewyca  AND  Custom Field > Request Type  equals  Create or modify Appointment, Dropship Vendor Performance Appeal, DSCO Questions/Issues, Marketing Request, New Vendor Follow-up, Setup EDI Account, Playbook Questions, Dropship Shipping or Ordering Questions, Shipping or Ordering Questions, Vendor Account Information Update, Vendor Performance Scorecard Questions, Collect Vendor Creating New OTM Profile, Technical Questions for RTS, Transportation Escalations, Accessorial Request, Contact Follow-Up, Report Technical Issue, New International Vendor Submission, Contact and Address Update, Banking Information Update, Certificate of Insurance Renewal, Vendor Merger & Acquisition)",Append Response Template to Response Vendor Communication Portal - Initial
Incidents,AppendTemplate,01-Initial State,01-CA-Inbound Vendor Portal AAQ - Feedba,Enabled,If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Feedback or Suggestions  AND  Incidents > Interface  equals  chewyca),Append Response Template to Response Vendor Communication Portal -Feedback
Incidents,AppendTemplate,01-Initial State,01-CA-Inbound Central Scheduling New ord,Enabled,If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Message or Question  AND  Incidents > Interface  equals  chewyca),Append Response Template to Response Other Confirmation message
Incidents,AppendTemplate,01-Initial State,01-Special Email Import,Disabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Custom Field > Sign Off  equals  specialemailblast  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Data Import),Append Response Template to Response Partial Charge Notification
Incidents,AppendTemplate,01-Initial State,01-Ad Hoc Email Blast,Disabled,If (Custom Field > Sign Off  equals  adhocemailblast  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Data Import),Append Response Template to Response Partial Charge Notification
Incidents,AppendTemplate,01-Initial State,01-Damage Exception Email Import,Enabled,If (Incidents > Source  equals  Data Import  AND  Custom Field > Sign Off  equals  damageexceptionemail  AND  Custom Field > Sign Off  is modified this edit),Append Response Template to Response Damage Exception
Incidents,AppendTemplate,01-Initial State,01-Special Coupon $10 Import,Disabled,If (Incidents > Source  equals  Import Tools  AND  Custom Field > Sign Off  equals  specialcouponblast10  AND  Incidents > Subject  equals  We're sorry. Here's $10),Append Response Template to Response Proactive CS $10 Concession
Incidents,AppendTemplate,01-Initial State,01-Special Coupon $15 Import,Disabled,If (Incidents > Source  equals  Import Tools  AND  Custom Field > Sign Off  equals  specialcouponblast15  AND  Incidents > Subject  equals  We're sorry. Here's $15),Append Response Template to Response Proactive CS $15 Concession
