Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incident,StopProcessing,01-Initial State,01 - Validate Deprecated Mailboxes,Enabled,"If (Incidents > Source  equals  Techmail - Service Mailbox, Techmail - Outreach Mailbox, Techmail - Incoming Auto-Reply Message  AND  Incidents > Incoming Mailbox  equals  vendorgrowthpartners@custhelp.com, Chewy Vendor Care)",Stop Processing
Incident,StopProcessing,01-Initial State,Datalogs Fedex,Disabled,If (Incidents > Mailbox  equals  null  AND  Incidents > Email Header  contains  TrackingUpdates@fedex.com),Stop Processing
Incident,StopProcessing,01-Initial State,01-Inbound General Email - Holding,Disabled,"If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  Unspecified, Chewy  AND  Custom Field > Routing Tags  is null)",Stop Processing
Incident,StopProcessing,01-Initial State,01-Innovation Form Submission,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Incidents > Category  equals  Bug, Enhancement, Design, Training, General  AND  Incidents > Subject  equals  Innovation Tracker Submission  AND  Incidents > Updated from  equals  Ask A Question)",Stop Processing
Incident,StopProcessing,02-Updated State,02-Northstar NSP Hold State,Enabled,If (Incidents > Queue  equals  Rx Northstar Holding  AND  Incidents > Category  not equals  Approval),Stop Processing
Incident,StopProcessing,02-Updated State,Smarshall Cancel Rx Order Test,Enabled,If (Incidents > Subject  contains  smarshall cancel rx order test  AND  Incidents > Subject  is modified this edit),Stop Processing
Incident,StopProcessing,02-Updated State,02 - Pharmacy Order Cancellation,Enabled,If (Custom Field > Sign Off  is modified this edit    AND  Custom Field > Sign Off  equals  PharmacyOrderCancellation),Stop Processing
Incident,StopProcessing,02-Updated State,02-Solved with Live Contact Email Import,Enabled,"If (Custom Field > Sign Off  equals  solvedwithlivecontact  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Incident Multi Update, Data Import  AND  Incidents > Status  equals  Unresolved, Updated  AND  Incidents > Queue  equals  General Email, ADHOC Email  AND  [No Value]  not equals  livecontactslvd  AND  Custom Field > OpenMethods Status  not equals  accepted)",Stop Processing
Incident,StopProcessing,02-Updated State,02-Thank You Email Pre-Scan Import,Enabled,"If (Custom Field > Sign Off  equals  thankyouemailprescan  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Data Import  AND  Incidents > Status  equals  Unresolved, Updated  AND  Incidents > Queue  equals  General Email  AND  Custom Field > OpenMethods Status  not equals  accepted)",Stop Processing
Incident,StopProcessing,02-Updated State,02-ADHOC Email Prescan,Enabled,"If (Custom Field > Sign Off  equals  adhocemailprescan  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Data Import  AND  Incidents > Status  equals  Unresolved, Updated  AND  Incidents > Queue  equals  General Email  AND  Custom Field > OpenMethods Status  not equals  accepted)",Stop Processing
Incident,StopProcessing,02-Updated State,02-Pharmacy Send Refax,Enabled,If (Custom Field > Sign Off  equals  pharmacysendrefax  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Data Import),Stop Processing
Incident,StopProcessing,02-Updated State,02-Cancel Failure Escalation,Enabled,"If (Incidents > Escalation Level  is modified this edit    AND  Incidents > Escalation Level  equals  Cancel Order Process, Cancel Order Process 2  AND  Incidents > Category  equals  Duplicate Order Placed, Cancel Order Failed, Cancel Order  AND  Incidents > Status  equals  Unresolved)",Stop Processing
Incident,StopProcessing,02-Updated State,02-Cancel Order On Call To Action Update,Enabled,"If (Incidents > Updated from  equals  Custom Process, Data Import  AND  Incidents > Subject  match regex  ^\[Please(\s|\+)cancel(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Orders > OrderId  is modified this edit)",Stop Processing
