Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incidents,CPMCall,01-Initial State,01 - Validate Deprecated Mailboxes,Enabled,"If (Incidents > Source  equals  Techmail - Service Mailbox, Techmail - Outreach Mailbox, Techmail - Incoming Auto-Reply Message  AND  Incidents > Incoming Mailbox  equals  vendorgrowthpartners@custhelp.com, Chewy Vendor Care)",Execute Object Event Handler vsp_inc_depricated_autorespond
Incidents,CPMCall,01-Initial State,01-Check Global Association,Disabled,If (Incidents > Source  equals  Techmail - Service Mailbox),Execute Object Event Handler gbl_con_region_assoc
Incidents,CPMCall,01-Initial State,01-CA-Cancel my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)cancel(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  chewyca@custhelp.com)",Execute Object Event Handler incident_get_order_number
Incidents,CPMCall,01-Initial State,01-CA-Ship my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)ship(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  chewyca@custhelp.com)",Execute Object Event Handler incident_get_order_number
Incidents,CPMCall,01-Initial State,01-CA-Inbound Vendor Portal AAQ,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Item/Assortment Transition, Item/Assortment Update Request, Item Discontinuation Submission, Assortment/Content/Marketing, Request to Receive Audit Reports, Brand Info Sheet for Customer Service, Charegebacks, Item Copy or Image Update, Cost Disputes, Cost Rejection Disputes, Cost Update Request, Create or modify Appointment, Customer Satisfaction Claims, Damage Claims, Document failure/rejection, Dropship Sticker Request, Dropship Vendor Performance Appeal, DSCO Questions/Issues, EDI invoicing issue, Carrier EDI Issue, General Questions, Invoice Payment Disputes, Payment/Invoice Issues or Status, Marketing Request, Mis-shipments , Item/Assortment Setup Request, New Vendor Follow-up, Setup EDI Account, Other Questions, Payment Remittance Request, Playbook Questions, Purchase Order (PO) Issues, Rebate Dispute or Backup Request, Rebate/Term Changes or Questions, Recall/Quality Concerns, Resale Certificate Request, Update MAP/MSRP, MAP Violation, Return to Vendor, Dropship Shipping or Ordering Questions, Shipping or Ordering Questions, Update Preferred Contact List, Vendor Compliance Manual, Vendor Data Services, Vendor Account Information Update, Vendor Performance Scorecard Questions, Violations, Vendor Wanting to join Chewy Collect, Collect Vendor Creating New OTM Profile, Collect Vendor Change/Update RTS Info, Technical Questions for RTS, Transportation Escalations, Accessorial Request, Contact Follow-Up, Report Technical Issue, Purchase Unit of Measure Update, Catalog Audit, Invoice Hold Resolution, Demand Forecasting Inquires, Lead Time Inquires, Ordering Cadence Inquires, Item Availability Dates or OOS Updates, New International Vendor Submission, Contact and Address Update, Banking Information Update, Certificate of Insurance Renewal, Vendor Merger & Acquisition, Rebate Backup Request - Promo & Lumpsum, Rebate Backup Request - Allowances & POs, Rebate Disputes - Promotion & Lumpsums, Rebate Disputes - Allowances & POs, Category Manager Contact  AND  Incidents > Interface  equals  chewyca)",Execute Object Event Handler vsp_inc_autoresponse
Incidents,CPMCall,01-Initial State,01-Special Email Cancel,Disabled,If (Incidents > Source  equals  Data Import  AND  Custom Field > Sign Off  equals  specialvetdietcancel  AND  Incidents > Category  equals  Cancel Order),Execute Object Event Handler inc_cancelOrderProcessStart
Incidents,CPMCall,01-Initial State,Set FCR,Disabled,"If (Incidents > Source  equals  Live Chat, Techmail - Service Mailbox, Web Console Live Chat  OR  Incidents > Channel  equals  Email, Phone, Chat, Email)",Execute Object Event Handler IncidentFCR
Incidents,CPMCall,01-Initial State,01-Cancel my Order Call to Action,Disabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)cancel(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  Chewy)",Execute Object Event Handler incident_get_order_number
Incidents,CPMCall,01-Initial State,01-G-Cancel my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)cancel(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  Chewy  AND  Incidents > Queue  equals  Cancel Order)",Execute Object Event Handler incident_get_order_number
Incidents,CPMCall,01-Initial State,01-Ship my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)ship(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  Chewy)",Execute Object Event Handler incident_get_order_number
Incidents,CPMCall,01-Initial State,01-Inbound SFW Cancel Failure,Enabled,"If (Incidents > Source  equals  Connect PHP  AND  Incidents > Category  equals  Cancel Order Failed, Gift Card Item, Email/Order Mismatch, Other)",Execute Object Event Handler inc_resolveBlockProcessStart
Incidents,CPMCall,01-Initial State,01-Dedup Non-OCR Processed RX Inc,Enabled,"If (Incidents > Mailbox  equals  RX  AND  Incidents > Channel  equals  Fax  AND  Incidents > Category  is modified this edit    AND  Incidents > Category  equals  Approval, Denial, Outbound Prescription Follow-Up  AND  Orders > OrderId  is not null)",Execute Object Event Handler dedup_rx_incidents_sync
Incidents,CPMCall,01-Initial State,01-Inbound General Email - Holding,Disabled,"If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  Unspecified, Chewy  AND  Custom Field > Routing Tags  is null)",Execute Object Event Handler inc_customer_routing
Incidents,CPMCall,01-Initial State,01-OCR FAX Copy,Enabled,"If (Incidents > Source  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async)  AND  Incidents > Queue  equals  Vet Diet Overflow, Vet Diet Fax, Rx Pharmacy Data Entry, Rx Pharmacy Tech Fax Priority, Rx Vet Diet Fax, Vet Diet Fax Pending OCR, Rx Pharmacy Fax Pending OCR)",Execute Object Event Handler ocr_get_fax_number
Incidents,CPMCall,01-Initial State,01-Inbound VC Disputes,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  No Call No Show (NCNS), Pallet Damage (PD), PO Acknowledgement Fill Rate (POA), On-Time (OT), Reschedules (RS), Collect Failed Pickup (FPU), ASN Fill Rate (ASNFR), ASN On-Time (ASNOT), Overages / Excess Units Shipped (OVRG), Pallet Refusals (PR), Value Added Service (VAS)  AND  Incidents > Category  equals  Vendor Compliance, Chargeback Dispute)",Execute Object Event Handler vsp_inc_router | Execute Object Event Handler vsp_inc_autoresponse
Incidents,CPMCall,01-Initial State,01-Inbound Vendor Portal AAQ,Enabled,"If (Incidents > Source  equals  Ask A Question, Connect Web Services - REST  AND  Custom Field > Request Type  equals  Item/Assortment Transition, Item/Assortment Update Request, Item Discontinuation Submission, Assortment/Content/Marketing, Request to Receive Audit Reports, Brand Info Sheet for Customer Service, Charegebacks, Item Copy or Image Update, Cost Disputes, Cost Rejection Disputes, Cost Update Request, Create or modify Appointment, Customer Satisfaction Claims, Damage Claims, Document failure/rejection, Dropship Sticker Request, Dropship Vendor Performance Appeal, DSCO Questions/Issues, EDI invoicing issue, Carrier EDI Issue, General Questions, Invoice Payment Disputes, Payment/Invoice Issues or Status, Marketing Request, Mis-shipments , Item/Assortment Setup Request, New Vendor Follow-up, Setup EDI Account, Other Questions, Payment Remittance Request, Playbook Questions, Purchase Order (PO) Issues, Rebate Dispute or Backup Request, Rebate/Term Changes or Questions, Recall/Quality Concerns, Resale Certificate Request, Update MAP/MSRP, MAP Violation, Return to Vendor, Dropship Shipping or Ordering Questions, Shipping or Ordering Questions, Update Preferred Contact List, Vendor Compliance Manual, Vendor Data Services, Vendor Account Information Update, Vendor Performance Scorecard Questions, Violations, Vendor Wanting to join Chewy Collect, Collect Vendor Creating New OTM Profile, Collect Vendor Change/Update RTS Info, Technical Questions for RTS, Transportation Escalations, Accessorial Request, Contact Follow-Up, Report Technical Issue, Purchase Unit of Measure Update, Catalog Audit, Invoice Hold Resolution, Demand Forecasting Inquires, Lead Time Inquires, Ordering Cadence Inquires, Item Availability Dates or OOS Updates, PAF completion/upload questions, Image Update (Existing Products), Video Update (Existing Products), Enhanced Content Request-Formerly Chewy+, Item Copy (Existing Products), New Vendor Company Information, Pawsibilities Product Reviews Request, Contact and Address Update, Banking Information Update, Certificate of Insurance Renewal, Vendor Merger & Acquisition, Rebate Backup Request - Promo & Lumpsum, Rebate Backup Request - Allowances & POs, Rebate Disputes - Promotion & Lumpsums, Rebate Disputes - Allowances & POs, Add Additional Supplier to a SKU, Attribution Update, Availability Date Update, Case Layer Pallet Update, Case UPC Add, Brand Name Change, Discontinuation Request, Item Name Update, Item Dimensions & Weight Update, Move SKU to New Supplier, Extended Content Update, Minimum Order Quantity & Order Multiple, Reactivate Discontinued SKU, Restricted Availability Update, UPC Update, Vendor Part Number VPN Update, Category Manager Contact, Request Access to CPH, Reset CPH Account Password, Reset Multi-Factor Authentication (MFA), Request Access to Catalog Details, Request Access to Invoice Details, Combine Chewy SKUs under Parent Producti, New Dropship FC, Item Ordering Update)",Execute Object Event Handler vsp_inc_autoresponse
Incidents,CPMCall,01-Initial State,01-Inbound Pharmacy,Enabled,"If (Incidents > Source  equals  CX Console, Incident Editor, Contact Editor, Org Editor, Opportunity Editor, Task Ins Editor, Answer Editor, Mailing Editor, Survey Editor, Campaign Editor, Document Editor, Mailing Format Editor, Segment Editor, Contact List Editor, Answer Propose from Incident Editor, Opportunity Create from Incident Editor, Analytics Report, Answer Move, Explorer, Incident Multi Update, Contact Multi Update, Org Multi Update, Opportunity Multi Update, Task Ins Multi Update, Answer Multi Update, Communication Center Notifications, null, Custom Object Editor, Custom Object Multi Update, Virtual Assistant Editor, Workflow, Asset Editor, Asset Multi-Edit Editor, Console Standard Report, Console Workspace, Console Search, Console Preview, Console Preview, Console External Interface, Console Add-In, Console Reset Password, Web Console, Web Console Incident Editor, Web Console Contact Editor, Web Console Org Editor, Web Console Asset Editor, Web Console Task Editor, Web Console Answer Editor, Web Console Contact List Editor, Web Console Workflow, Web Console Analytics Report, Web Console Incident Multi Update, Web Console Contact Multi Update, Web Console Org Multi Update, Web Console Opportunity Multi Update, Web Console Task Ins Multi Update, Web Console Answer Multi Update, Web Console Asset Multi Update, Web Console Notification, null, Web Console Custom Object Editor, Web Console Custom Object Multi Update, Web Console Standard Report, Web Console Workspace, Web Console Search, Web Console Preview, Web Console Reset Password  AND  Incidents > Category  equals  Pharmacy  AND  Incidents > Mailbox  equals  null, RX)",Execute Object Event Handler inc_sync_contact
Incidents,CPMCall,01-Initial State,01-Inbound Pharmacy Mailin New Order 1,Enabled,If (Incidents > Source  equals  Public API  AND  Incidents > Disposition  equals  Pending Client-Mailer  AND  Incidents > Category  equals  First Contact Sent  AND  Incidents > Status  equals  Waiting  AND  Custom Field > Sign Off  equals  CMM First Notification Sent  AND  Custom Field > Channel  not equals  Gabapentin),Execute Object Event Handler inc_sync_contact
