Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incident,SetField,01-Initial State,01-CA-WOW Case,Enabled,If (Incidents > Queue  equals  CA - WOW  AND  Incidents > Interface  equals  chewyca),Set Field Incidents > Assigned assign as Unspecified
Incident,SetField,01-Initial State,01-G -Rx Voicemail,Enabled,If (Incidents > Subject  contains  Genesys-US-Pharm-Gabapentin-VM  OR  Incidents > Subject  contains  Genesys-US-Pharm-Nevada-VM  OR  Incidents > Subject  contains  Genesys-US-Pharm-RPhGeneral-VM),Set Field Incidents > Queue assign as Rx Voicemail
Incident,SetField,01-Initial State,01-G -PracticeHub - Vet Support Email VM,Enabled,If (Incidents > Subject  contains  Genesys-US-Pharm-DigitalClinic-VM),Set Field Incidents > Queue assign as PracticeHub - Vet Support Email
Incident,SetField,01-Initial State,01-RxCS Follow-Up [new],Enabled,If (Custom Field > Routing Tags  contains  [new]  AND  Custom Field > Routing Tags  contains  [rxcs]  AND  Custom Field > Routing Tags  contains  [nsfu]  AND  Custom Field > Routing Tags  contains  [digi]),Set Field Incidents > Queue assign as RxCS Follow-Up Waiting | Set Field Incidents > Assigned assign as Unspecified | Set Field Incidents > Status assign as Waiting | Set Field Incidents > Disposition assign as Follow-Up Needed | Set Field Incidents > Mailbox assign as RX | Set Field Custom Field > OpenMethods Status assign as pre-initial
Incident,SetField,01-Initial State,01-CA-Cancel my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)cancel(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  chewyca@custhelp.com)",Set Field Incidents > Category assign as Duplicate Order Placed | Set Field Incidents > Disposition assign as No Action Needed | Set Field Incidents > Queue assign as CA - Cancel Order | Set Field Custom Field > Channel assign as Email | Set Field Incidents > Interface assign as chewyca
Incident,SetField,01-Initial State,01-CA-Ship my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)ship(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  chewyca@custhelp.com)",Set Field Incidents > Category assign as Order Confirmation/Verification | Set Field Incidents > Queue assign as CA - Multiple Order System Automation | Set Field Custom Field > Channel assign as Email | Set Field Incidents > Status assign as Unresolved | Set Field Custom Field > OpenMethods Status assign as pre-initial | Set Field Incidents > Interface assign as chewyca
Incident,SetField,01-Initial State,01-CA- Pricing,Enabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND (  Incidents > Email Header  match regex  DL-MAP_Administrator@chewy.com  OR  Incidents > Subject  contains  Pricing PoC )  AND  Incidents > Interface  equals  chewyca),Set Field Incidents > Queue assign as CA - Pricing | Set Field Incidents > Status assign as Solved
Incident,SetField,01-Initial State,01-CA-Inbound General Email,Enabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Mailbox  equals  chewyca@custhelp.com),Set Field Custom Field > Channel assign as Email
Incident,SetField,01-Initial State,01-CA-Auto Reply,Disabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  chewyca@custhelp.com  AND (  Incidents > Subject  match regex  [Aa]uto(matic)*[- ][Rr]eply  OR  Incidents > Subject  match regex  Auto response: )),Set Field Custom Field > Channel assign as Email | Set Field Incidents > Category assign as Automatic Email Reply | Set Field Incidents > Product assign as Not Available | Set Field Incidents > Disposition assign as No Action Needed | Set Field Custom Field > Agent Open Date equal to the value of Now | Set Field Incidents > Queue assign as CA - General Email | Set Field Incidents > Status assign as Solved | Set Field Incidents > Interface assign as chewyca
Incident,SetField,01-Initial State,01-G-CA-Auto Reply,Enabled,If (Incidents > Incoming Mailbox  equals  chewyca@custhelp.com  AND (  Incidents > Subject  match regex  [Aa]uto(matic)*[- ][Rr]eply  OR  Incidents > Subject  match regex  Auto response: )  AND  Incidents > Queue  equals  CA - General Email  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Set Field Custom Field > Channel assign as Email | Set Field Incidents > Category assign as Automatic Email Reply | Set Field Incidents > Product assign as Not Available | Set Field Incidents > Disposition assign as No Action Needed | Set Field Custom Field > Agent Open Date equal to the value of Now | Set Field Incidents > Status assign as Solved | Set Field Incidents > Interface assign as chewyca
