Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incident,TransitionState_Stop,01-Initial State,01-CA-WOW Case,Enabled,If (Incidents > Queue  equals  CA - WOW  AND  Incidents > Interface  equals  chewyca),Transition State And Stop 50-Chewy CA State
Incident,TransitionState_Stop,01-Initial State,01-G -Rx Voicemail,Enabled,If (Incidents > Subject  contains  Genesys-US-Pharm-Gabapentin-VM  OR  Incidents > Subject  contains  Genesys-US-Pharm-Nevada-VM  OR  Incidents > Subject  contains  Genesys-US-Pharm-RPhGeneral-VM),Transition State And Stop 04-Pharmacy State
Incident,TransitionState_Stop,01-Initial State,01-G -PracticeHub - Vet Support Email VM,Enabled,If (Incidents > Subject  contains  Genesys-US-Pharm-DigitalClinic-VM),Transition State And Stop 04-Pharmacy State
Incident,TransitionState_Stop,01-Initial State,01-CA-Cancel my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)cancel(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  chewyca@custhelp.com)",Transition State And Stop 50-Chewy CA State
Incident,TransitionState_Stop,01-Initial State,01-CA-Ship my Order Call to Action,Enabled,"If (Incidents > Subject  match regex  ^\[Please(\s|\+)ship(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Mailbox  equals  chewyca@custhelp.com)",Transition State And Stop 50-Chewy CA State
Incident,TransitionState_Stop,01-Initial State,01-CA- Pricing,Enabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND (  Incidents > Email Header  match regex  DL-MAP_Administrator@chewy.com  OR  Incidents > Subject  contains  Pricing PoC )  AND  Incidents > Interface  equals  chewyca),Transition State And Stop 02-Updated State
Incident,TransitionState_Stop,01-Initial State,01-CA-Auto Reply,Disabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  chewyca@custhelp.com  AND (  Incidents > Subject  match regex  [Aa]uto(matic)*[- ][Rr]eply  OR  Incidents > Subject  match regex  Auto response: )),Transition State And Stop 50-Chewy CA State
Incident,TransitionState_Stop,01-Initial State,01-G-CA-Auto Reply,Enabled,If (Incidents > Incoming Mailbox  equals  chewyca@custhelp.com  AND (  Incidents > Subject  match regex  [Aa]uto(matic)*[- ][Rr]eply  OR  Incidents > Subject  match regex  Auto response: )  AND  Incidents > Queue  equals  CA - General Email  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Transition State And Stop 50-Chewy CA State
Incident,TransitionState_Stop,01-Initial State,01-CA-Inbound VC Disputes,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  No Call No Show (NCNS), Pallet Damage (PD), PO Acknowledgement Fill Rate (POA), On-Time (OT), Reschedules (RS)  AND  Incidents > Category  equals  Vendor Compliance, Chargeback Dispute  AND  Incidents > Interface  equals  chewyca)",Transition State And Stop 50-Chewy CA State
Incident,TransitionState_Stop,01-Initial State,01-CA-Q&A Import,Enabled,If (Incidents > Source  equals  Import Tools  AND  Incidents > Queue  equals  CA - Q&A  AND  Incidents > Interface  equals  chewyca),Transition State And Stop 50-Chewy CA State
Incident,TransitionState_Stop,01-Initial State,01-CA-Transition State to 50-CA,Enabled,If (Incidents > Interface  equals  chewyca),Transition State And Stop 50-Chewy CA State
Incident,TransitionState_Stop,01-Initial State,01 - AWS Delivery Exceptions - Set Channel Type,Enabled,"If (Incidents > Created By  equals  AWS Lambda, Kelly Williamson  AND  Incidents > Queue  equals  FedEx Exceptions  AND  Custom Field > Supply Escalation Reason  equals  FedEx Delivery Exceptions)",Transition State And Stop 02-Updated State
Incident,TransitionState_Stop,01-Initial State,Rx Voicemail,Enabled,If (Incidents > Subject  contains  New group voicemail for),Transition State And Stop 04-Pharmacy State
Incident,TransitionState_Stop,01-Initial State,01-WOW Case,Enabled,"If (Incidents > Queue  equals  CVC WOW, WOW)",Transition State And Stop 02-Updated State
Incident,TransitionState_Stop,01-Initial State,EDD Notification Closure,Enabled,If (Incidents > Queue  equals  Edd Notifications),Transition State And Stop 02-Updated State
Incident,TransitionState_Stop,01-Initial State,01-Special Email Import,Disabled,If (Incidents > Source  equals  Techmail - Service Mailbox  AND  Custom Field > Sign Off  equals  specialemailblast  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Data Import),Transition State And Stop 02-Updated State
Incident,TransitionState_Stop,01-Initial State,01-Special Email Cancel,Disabled,If (Incidents > Source  equals  Data Import  AND  Custom Field > Sign Off  equals  specialvetdietcancel  AND  Incidents > Category  equals  Cancel Order),Transition State And Stop 02-Updated State
Incident,TransitionState_Stop,01-Initial State,01-Ad Hoc Email Blast,Disabled,If (Custom Field > Sign Off  equals  adhocemailblast  AND  Custom Field > Sign Off  is modified this edit    AND  Incidents > Updated from  equals  Data Import),Transition State And Stop 02-Updated State
Incident,TransitionState_Stop,01-Initial State,01-Damage Exception Email Import,Enabled,If (Incidents > Source  equals  Data Import  AND  Custom Field > Sign Off  equals  damageexceptionemail  AND  Custom Field > Sign Off  is modified this edit),Transition State And Stop 02-Updated State
Incident,TransitionState_Stop,01-Initial State,01-Special Coupon $10 Import,Disabled,If (Incidents > Source  equals  Import Tools  AND  Custom Field > Sign Off  equals  specialcouponblast10  AND  Incidents > Subject  equals  We're sorry. Here's $10),Transition State And Stop 02-Updated State
Incident,TransitionState_Stop,01-Initial State,01-Special Coupon $15 Import,Disabled,If (Incidents > Source  equals  Import Tools  AND  Custom Field > Sign Off  equals  specialcouponblast15  AND  Incidents > Subject  equals  We're sorry. Here's $15),Transition State And Stop 02-Updated State
