Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incident,Other,01-Initial State,01-Inbound Pharmacy New Order,Enabled,"If (Incidents > Source  equals  Public API  AND  Incidents > Queue  equals  Rx First Contact, Rx New Order)",Escalate to PharmacyNewOrder +5 Minutes Exactly From Now
Incident,Other,02-Updated State,02-Cancel Order On Call To Action Update,Enabled,"If (Incidents > Updated from  equals  Custom Process, Data Import  AND  Incidents > Subject  match regex  ^\[Please(\s|\+)cancel(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Orders > OrderId  is modified this edit)",Escalate to Cancel Order Process 2 +15 Minutes Exactly From Now
Incident,Other,02-Updated State,02-Vendor Portal Solved,Enabled,"If (Incidents > Updated from  equals  CX Console, Incident Editor, Techmail - Service Mailbox, Data Import, Web Console Incident Editor  AND  Incidents > Status  equals  Solved  AND  Incidents > Status  is modified this edit    AND  Incidents > Queue  equals  Accounting - AP Inventory, Accounting - AP Holds, Accounting - AR/Vendor Rebate Billing, CA - Accounting - AP Inventory, CA - Accounting - AP Holds, CA - Central Scheduling, CA - EDI, CA - MSS - Catalog, CA - MSS - Content, CA - MSS - Feedback, CA - MSS - Pricing, CA - MSS Ops, CA - Supply Planning, CA - VC Disputes, CA - Vendor Compliance, CA - Vendor Outreach, CA - Vendor Specialist, CA - VSP - Routing, Dropship - Appeal, Drop Ship - Merchandising, Drop Ship - Supply Chain - Operations, Drop Ship - Supply Chain - Packaging, EDI, MSS - Catalog, MSS - Content, MSS - Feedback, MSS Ops, MSS Ops Escalation, MSS - Pricing, Prepaid Vendor Going Collect, Supply Planning, TRANSPORTATION – Accesorials, TRANSPORTATION - CPU, TRANSPORTATION - RTS & Inbound Freight, VC Disputes, Vendor Specialists, Vendor Care, Vendor Compliance, Vendor Growth Partners, Vendor Outreach, VSP - Routing  AND  Custom Field > Sign Off  is null    AND  Incidents > Source  equals  Ask A Question  AND  Incidents > Disposition  not equals  OOTO Reply, Auto-Reopened - System Email Loop)",Send Transactional Survey Chewy Vendor Service Satisfaction Survey After +1 Hours Exactly
Incident,Other,03-Vet Diet State,03- AS Send Request to Clinic,Enabled,"If (Custom Field > Send Rxs To NPC  equals  Yes  AND  Custom Field > Clinic Contact Preference  equals  Email, Fax  AND  Custom Field > Channel  equals  Vet Diet - Autoship)",Escalate to Autoship Solved +15 Minutes Exactly From Now
Incident,Other,03-Vet Diet State,03- CancelMiss,Enabled,If (Custom Field > Sign Off  is modified this edit    AND  Custom Field > Sign Off  equals  VDMISSCANCEL),Escalate to VD Cancel Miss +32 Hours Exactly From Now
Incident,Other,04-Pharmacy State,04- 24 Hr Cancellation Manual,Enabled,If (Custom Field > Sign Off  is modified this edit    AND  Custom Field > Sign Off  equals  skip hydration),Escalate to Cancel Pharmacy Order Fix +24 Hours Exactly From Now
Incident,Other,50-Chewy CA State,50-CA-Cancel Order On Call To Action upd,Enabled,"If (Incidents > Updated from  equals  Custom Process, Data Import  AND  Incidents > Subject  match regex  ^\[Please(\s|\+)cancel(\s|\+)my(\s|\+)order(\s|\+)-([0-9]{9,10})-\]$  AND  Incidents > Interface  equals  chewyca  AND  Orders > OrderId  is modified this edit)",Escalate to CA-Cancel Order Process 2 +15 Minutes Exactly From Now
Incident,Other,50-Chewy CA State,50-CA-Vendor Portal Solved,Enabled,"If (Incidents > Updated from  equals  CX Console, Incident Editor, Data Import, Web Console Incident Editor  AND  Incidents > Status  equals  Solved  AND  Incidents > Status  is modified this edit    AND  Incidents > Queue  equals  CA - Accounting - AP Inventory, CA - Accounting - AP Holds, CA - Accounting - AR/Ven. Rebate Billing, CA - Drop Ship - Merchandising, CA - Drop Ship - SC - Operation, CA - Drop Ship - SC - Packing, CA - MSS - Content, CA - MSS - Feedback, CA - MSS - Pricing, CA - MSS Ops, CA - MSS Ops Escalation, CA - Supply Planning, CA -TRANSPORATION - Accesorials, CA - TRANSPORATION - CPU, CA - TRANSPORATION - RTS & Inbound, CA - Vendor Compliance, CA - Vendor Specialist, CA - VSP - Routing  AND  Custom Field > Sign Off  is null    AND  Incidents > Source  equals  Ask A Question  AND  Incidents > Disposition  not equals  OOTO Reply, Auto-Reopened - System Email Loop  AND  Incidents > Interface  equals  chewyca)",Send Transactional Survey Chewy Vendor Service Satisfaction Survey After +1 Hours Exactly
Incident,Other,testevent,,Disabled,,
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx Waiting First Touch - Chain,Enabled,"If (Incidents > Status  equals  Waiting  AND  Incidents > Escalation Level  not equals  Pharmacy Waiting First Touch, Pharmacy Waiting Touch 2  AND  Incidents > Source  equals  CX Console, Techmail - Service Mailbox, Public API, Data Import, Web Console  AND  Incidents > Queue  equals  Rx Waiting Queue  AND  Incidents > Disposition  equals  Pending Second Contact)",Escalate to Pharmacy Waiting First Touch +1 Minutes Exactly From Now
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx Waiting Touch 2- Chain,Enabled,"If (Incidents > Status  equals  Waiting  AND  Incidents > Escalation Level  not equals  Pharmacy Waiting Touch 2  AND  Incidents > Source  equals  CX Console, Techmail - Service Mailbox, Public API, Data Import, Web Console  AND  Incidents > Queue  equals  Rx Waiting Queue  AND  Incidents > Disposition  equals  Pending Second Contact)",Escalate to Pharmacy Waiting Touch 2 +48 Hours Exactly From Now
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx Waiting Touch 2 - Action,Disabled,If (Incidents > Escalation Level  equals  Pharmacy Waiting Touch 2  AND  Incidents > Previous Escalation Level  not equals  Pharmacy Waiting Touch 2  AND  Incidents > Disposition  equals  Pending Second Contact  AND  Incidents > Queue  equals  Rx Waiting Queue  AND  Incidents > Status  equals  Waiting),Escalate to Pharmacy Partial Approval +48 Hours Exactly From Now
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx SDF Waiting Touch 2 - Action,Enabled,If (Incidents > Escalation Level  equals  Pharmacy Waiting Touch 2  AND  Incidents > Previous Escalation Level  not equals  Pharmacy Waiting Touch 2  AND  Incidents > Escalation Level  is modified this edit    AND  Custom Field > Channel  not equals  Gabapentin),Escalate to RX Partial Approval SDF +1 Minutes Exactly From Now
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx AVP Waiting Touch 2 - Action,Enabled,If (Incidents > Escalation Level  equals  Pharmacy Waiting Touch 2  AND  Incidents > Previous Escalation Level  not equals  Pharmacy Waiting Touch 2  AND  Incidents > Escalation Level  is modified this edit    AND  Custom Field > Channel  equals  Gabapentin),Escalate to RX Partial Approval AVP +1 Minutes Exactly From Now
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx Waiting Touch 3- Chain,Enabled,"If (Incidents > Status  equals  Waiting  AND  Incidents > Escalation Level  not equals  Pharmacy Waiting Touch 3  AND  Incidents > Source  equals  CX Console, Techmail - Service Mailbox, Public API, Data Import, Web Console  AND  Incidents > Queue  equals  Rx Waiting Queue  AND  Incidents > Disposition  equals  Pending Third Contact)",Escalate to Pharmacy Waiting Touch 3 +24 Hours Exactly From Now
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx Pending Reship - Chain,Enabled,"If (Incidents > Status  equals  Waiting  AND  Incidents > Escalation Level  not equals  Pharmacy Pending Reship  AND  Incidents > Source  equals  CX Console, Techmail - Service Mailbox, Public API, Data Import, Web Console  AND  Incidents > Queue  equals  Rx Waiting Queue  AND  Incidents > Disposition  equals  Pending Reship  AND  Custom Field > Channel  not equals  Gabapentin)",Escalate to Pharmacy Pending Reship +48 Hours Exactly From Custom Field > Transfer Date
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx Pending Reship - AVP - Gaba - Chain,Enabled,"If (Incidents > Status  equals  Waiting  AND  Incidents > Escalation Level  not equals  Rx Pharmacy Pending Reship AVP  AND  Incidents > Source  equals  CX Console, Techmail - Service Mailbox, Public API, Data Import, Web Console  AND  Incidents > Queue  equals  Rx Waiting Queue  AND  Incidents > Disposition  equals  Pending Reship  AND  Custom Field > Channel  equals  Gabapentin)",Escalate to Rx Pharmacy Pending Reship AVP +48 Hours Exactly From Custom Field > Transfer Date
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx Waiting LS Touch 2- Chain,Enabled,"If (Incidents > Status  equals  Waiting  AND  Incidents > Escalation Level  not equals  Pharmacy Waiting Touch LS 2  AND  Incidents > Source  equals  CX Console, Techmail - Service Mailbox, Public API, Data Import, Web Console  AND  Incidents > Queue  equals  Rx Waiting Queue  AND  Incidents > Disposition  equals  Pending LS Second Contact)",Escalate to Pharmacy Waiting Touch LS 2 +48 Hours Exactly From Now
Incident,Other,F10-Pharmacy Vet Waiting,F10- Rx Waiting LS Touch 3- Chain,Enabled,"If (Incidents > Status  equals  Waiting  AND  Incidents > Escalation Level  not equals  Pharmacy Waiting Touch LS 3  AND  Incidents > Source  equals  CX Console, Techmail - Service Mailbox, Public API, Data Import, Web Console  AND  Incidents > Queue  equals  Rx Waiting Queue  AND  Incidents > Disposition  equals  Pending LS Third Contact)",Escalate to Pharmacy Waiting Touch LS 3 +24 Hours Exactly From Now
