Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incident,Escalation,01-Initial State,01-CA-Inbound Central Scheduling Cofirm,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Create or Modify Appointment, Reschedule Appt  AND  Incidents > Interface  equals  chewyca)",Escalate to CA-Carrier Portal Confirmation +1 Minutes Exactly From Incidents > Time Created Use Response Interval Revalidate
Incident,Escalation,01-Initial State,01-Inbound Central Scheduling Confirm,Enabled,"If (Incidents > Source  equals  Ask A Question  AND  Custom Field > Request Type  equals  Create or Modify Appointment, Reschedule Appt)",Escalate to Carrier Portal Confirmation +1 Minutes Exactly From Incidents > Time Created Use Response Interval Revalidate
Incident,Escalation,02-Updated State,Nick Test Mailer,Disabled,"If (Custom Field > Request Status  equals  Approved, Approved with Modifications, Approved - Telefora Rejection, Approval Level 1)",Send Escalation Notification to assignee  with Subject line WOW Incident Moving Staff Member/Group
Incident,Escalation,02-Updated State,02-Vendor Portal Updated,Enabled,"If (Incidents > Updated from  equals  Techmail - Service Mailbox  AND  Incidents > Mailbox  equals  vendorgrowthpartners@custhelp.com, Chewy Vendor Care, null, null, null, Chewy Vendor Service Portal, null)",Send Escalation Notification to assignee  with Subject line You have a new updated incident Staff Member/Group
Incident,Escalation,02-Updated State,02-Vendor Portal Assigned,Enabled,"If (Incidents > Queue  equals  Central Scheduling, Vendor Compliance, Vendor Specialists, MSS Ops, MSS Ops Escalation, Accounting - AP Inventory, Accounting - AR/Vendor Rebate Billing, Accounting - AP Holds, EDI, TRANSPORTATION - CPU, TRANSPORTATION - RTS & Inbound Freight, TRANSPORTATION – Accesorials, Drop Ship - Supply Chain - Operations, Drop Ship - Supply Chain - Packaging, Drop Ship - Merchandising, VSP - Routing, MSS - Content, Supply Planning, MSS - Pricing, MSS - Catalog, MSS - Feedback  AND  Incidents > Assigned  is modified this edit)",Send Escalation Notification to assignee  with Subject line A VSP Incident has been assigned to you Staff Member/Group
Incident,Escalation,02-Updated State,02-Vendor Portal Assigned Updated,Enabled,"If (Incidents > Queue  equals  Central Scheduling, Vendor Compliance, Vendor Specialists, MSS Ops, MSS Ops Escalation, Accounting - AP Inventory, Accounting - AR/Vendor Rebate Billing, Accounting - AP Holds, EDI, TRANSPORTATION - CPU, TRANSPORTATION - RTS & Inbound Freight, TRANSPORTATION – Accesorials, Drop Ship - Supply Chain - Operations, Drop Ship - Supply Chain - Packaging, Drop Ship - Merchandising, VSP - Routing, MSS - Content, Supply Planning, MSS - Pricing, MSS - Catalog, MSS - Feedback  AND  Incidents > Assigned  is not modified this edit    AND  Custom Field > Number of Escalations  is modified this edit    AND  Incidents > Last Survey Score  is modified this edit)",Send Escalation Notification to assignee  with Subject line Your VSP Incident has been updated Staff Member/Group
Incident,Escalation,50-Chewy CA State,50-CA-Vendor Portal Assigned,Enabled,"If (Incidents > Queue  equals  CA - Accounting - AP Inventory, CA - Accounting - AP Holds, CA - Accounting - AR/Ven. Rebate Billing, CA - Central Scheduling, CA - Drop Ship - Merchandising, CA - Drop Ship - SC - Operation, CA - Drop Ship - SC - Packing, CA - EDI, CA - MSS - Catalog, CA - MSS - Content, CA - MSS - Feedback, CA - MSS - Pricing, CA - MSS Ops, CA - MSS Ops Escalation, CA - Supply Planning, CA -TRANSPORATION - Accesorials, CA - TRANSPORATION - CPU, CA - TRANSPORATION - RTS & Inbound, CA - Vendor Compliance, CA - Vendor Specialist, CA - VSP - Routing  AND  Incidents > Assigned  is modified this edit    AND  Incidents > Interface  equals  chewyca)",Send Escalation Notification to assignee  with Subject line CA - A VSP Incident has been assigned to you Staff Member/Group
Incident,Escalation,50-Chewy CA State,50-CA-Vendor Portal Assigned Update,Enabled,"If (Incidents > Queue  equals  CA - Accounting - AP Inventory, CA - Accounting - AP Holds, CA - Accounting - AR/Ven. Rebate Billing, CA - Central Scheduling, CA - Drop Ship - Merchandising, CA - Drop Ship - SC - Operation, CA - Drop Ship - SC - Packing, CA - EDI, CA - MSS - Content, CA - MSS - Feedback, CA - MSS - Pricing, CA - MSS Ops, CA - MSS Ops Escalation, CA - Supply Planning, CA -TRANSPORATION - Accesorials, CA - TRANSPORATION - CPU, CA - TRANSPORATION - RTS & Inbound, CA - Vendor Compliance, CA - Vendor Specialist, CA - VSP - Routing  AND  Incidents > Interface  equals  chewyca  AND  Custom Field > Number of Escalations  is modified this edit    AND  Incidents > Last Survey Score  is modified this edit)",Send Escalation Notification to assignee  with Subject line CA - Your VSP Incident has been updated Staff Member/Group
Incident,Escalation,F04-Case Update,04-Executive Esco,Enabled,If (Incidents > Disposition  equals  Executive Esco  AND  Incidents > Queue  not equals  Executive Escalation  AND  Incidents > Disposition  is modified this edit),Email Incident Information to assignee  with Subject line Executive Escalation Staff Member/Group   Distribution List Executive Escalation
Incident,Escalation,F06A-Reassign to Customer Service Queue,F06A-Unassign - Chain,Enabled,"If (Incidents > Queue  equals  General Email, Customer Service, Vet Diet Uploads, Rx First Contact, Rx Second Contact, Rx Third Contact, Rx Priority Specialty Meds, Rx Pharmacy DUR Correction, Rx Cancellation, Rx Pharmacy Priority Queue, Rx Priority Order Update, Rx Pharmacist  AND  Incidents > Assigned  not equals  Unspecified  AND  Incidents > Status  equals  Unresolved, Waiting, Unspecified  AND  Incidents > Source  equals  CX Console, Ask A Question, Techmail - Service Mailbox, Import Tools, Web Console  AND  Incidents > Previous Escalation Level  equals  null)",Escalate to Unassign +60 Minutes Exactly From Incidents > Date Last Updated Use Response Interval Revalidate
