Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Incident,TransitionState_Continue,01-Initial State,01-RxCS Follow-Up [new],Enabled,If (Custom Field > Routing Tags  contains  [new]  AND  Custom Field > Routing Tags  contains  [rxcs]  AND  Custom Field > Routing Tags  contains  [nsfu]  AND  Custom Field > Routing Tags  contains  [digi]),Transition State And Continue 04-Pharmacy State
Incident,TransitionState_Continue,01-Initial State,01-Rx Pharmacy Initial Routing [new],Enabled,If (Custom Field > Routing Tags  contains  [new]  OR  Custom Field > Routing Tags  contains  [de]  OR  Custom Field > Routing Tags  contains  [nsfu]  OR  Custom Field > Routing Tags  contains  [pof]),Transition State And Continue 04-Pharmacy State
Incident,TransitionState_Continue,01-Initial State,01-Rx Pharmacy Initial Routing,Enabled,If ((  Custom Field > Routing Tags  contains  [gaba]  OR  Custom Field > Routing Tags  contains  [hipr]  OR  Custom Field > Routing Tags  contains  [dur]  OR  Custom Field > Routing Tags  contains  [pfu]  OR  Custom Field > Routing Tags  contains  [ncno]  OR  Custom Field > Routing Tags  contains  [snl]  OR  Custom Field > Routing Tags  contains  [dverb] )  AND (  Custom Field > Channel  not equals  Fax )),Transition State And Continue 06-Rx Pharmacy Initial Routing
Incident,TransitionState_Continue,01-Initial State,01 - OCR Vet Diet,Enabled,"If (Incidents > Queue  equals  Vet Diet Overflow, Vet Diet Fax, Vet Diet Fax Pending OCR  AND  Incidents > Source  equals  Custom Process, Custom Process (Async)  AND  Incidents > Mailbox  equals  Vet Diet  AND  Custom Field > Channel  equals  Fax  AND  Incidents > Created By  equals  Unspecified)",Transition State And Continue 02-Updated State
Incident,TransitionState_Continue,01-Initial State,01-CVC Inbound Call,Enabled,"If (Incidents > Source  equals  CX Console, Incident Editor, Contact Editor, Org Editor, Opportunity Editor, Task Ins Editor, Answer Editor, Mailing Editor, Survey Editor, Campaign Editor, Document Editor, Mailing Format Editor, Segment Editor, Contact List Editor, Answer Propose from Incident Editor, Opportunity Create from Incident Editor, Analytics Report, Answer Move, Explorer, Incident Multi Update, Contact Multi Update, Org Multi Update, Opportunity Multi Update, Task Ins Multi Update, Answer Multi Update, Communication Center Notifications, Custom Object Editor, Custom Object Multi Update, Virtual Assistant Editor, Workflow, Asset Editor, Asset Multi-Edit Editor, Console Standard Report, Console Workspace, Console Search, Console Preview, Console Preview, Console External Interface, Console Add-In, Console Reset Password, Connect PHP, Web Console, Web Console Incident Editor, Web Console Contact Editor, Web Console Org Editor, Web Console Asset Editor, Web Console Task Editor, Web Console Answer Editor, Web Console Contact List Editor, Web Console Workflow, Web Console Analytics Report, Web Console Incident Multi Update, Web Console Contact Multi Update, Web Console Org Multi Update, Web Console Opportunity Multi Update, Web Console Task Ins Multi Update, Web Console Answer Multi Update, Web Console Asset Multi Update, Web Console Notification, Web Console Custom Object Editor, Web Console Custom Object Multi Update, Web Console Standard Report, Web Console Workspace, Web Console Search, Web Console Preview, Web Console Reset Password  AND (  Incidents > Queue  equals  CVC Concierge, CVC General, CVC Outbound, CVC Medical Request  OR  Incidents > Product  equals  PMR Source ))",Transition State And Continue 05-Chewy Vet Care
Incident,TransitionState_Continue,01-Initial State,01-Inbound Vet Diet New Clinic Order,Enabled,If (Incidents > Source  equals  Public API  AND  Custom Field > Channel  equals  Clinic Contact),Transition State And Continue 03-Vet Diet State
Incident,TransitionState_Continue,01-Initial State,01 - Vet Diet eFax Failures,Enabled,If (Custom Field > Sign Off  equals  Vet Diet eFax Failures  AND  Incidents > Queue  equals  Vet Diet eFax Failures  AND  Custom Field > Channel  equals  Vet Diet Refax),Transition State And Continue 03-Vet Diet State
Incident,TransitionState_Continue,01-Initial State,01- Transition State,Enabled,If (),Transition State And Continue 02-Updated State
Incident,TransitionState_Continue,02-Updated State,02-Northstar Routing,Enabled,"If (Custom Field > Routing Tags  is modified this edit    AND (  Custom Field > Routing Tags  contains  [nsp]  OR  Custom Field > Routing Tags  contains  [nsfu]  OR  Custom Field > Routing Tags  contains  [dur]  OR  Custom Field > Routing Tags  contains  [de]  OR  Custom Field > Routing Tags  contains  [new]  OR  Custom Field > Routing Tags  contains  [dscrd]  OR  Custom Field > Routing Tags  contains  [vd]  OR  Custom Field > Routing Tags  contains  [rshp] )  AND  Incidents > Disposition  not equals  Pharmacist Follow-Up - Pending 1st Touch, Rx Technician Follow Up  AND (  Custom Field > Routing Tags  does not contain  [digi] ))",Transition State And Continue 04-Pharmacy State
Incident,TransitionState_Continue,F01-Email Routing,F01-PMR Mails,Enabled,If (Incidents > Mailbox  equals  Vet Care Medical Records),Transition State And Continue 05-Chewy Vet Care
Incident,TransitionState_Continue,F01-G Email Routing,F01-G-PMR Mails,Enabled,If (Incidents > Mailbox  equals  Vet Care Medical Records  AND  Incidents > Queue  equals  CVC Medical Request  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Transition State And Continue 05-Chewy Vet Care
Incident,TransitionState_Continue,F04-Case Update,F04-CVC VCR Escalation,Enabled,If ((  Incidents > Disposition  equals  Chewy Vet Care Representative  AND  Incidents > Disposition  is modified this edit   )  OR  Incidents > Queue  equals  CVC General),Transition State And Continue 05-Chewy Vet Care
Incident,TransitionState_Continue,F35-Inbound Fax Routing,F35 - Unknown Fax [OCRv3],Enabled,If (Incidents > Category  equals  Fax Received  AND  Orders > OrderId  is null),Transition State And Continue 04-Pharmacy State
Incident,TransitionState_Continue,F35-Inbound Fax Routing,F35 - LS Drug Fax [OCRv3],Enabled,If (Incidents > Category  equals  LS Outbound Prescription Follow-Up  AND  Orders > OrderId  is not null),Transition State And Continue 04-Pharmacy State
Incident,TransitionState_Continue,F35-Inbound Fax Routing,F35 - Drug Fax [OCRv3],Enabled,If (Incidents > Category  equals  Fax Received  AND  Orders > OrderId  is not null),Transition State And Continue 04-Pharmacy State
Incident,TransitionState_Continue,F35-Inbound Fax Routing,F35 - Diet Fax [OCRv3],Enabled,If (Incidents > Category  equals  Fax),Transition State And Continue 03-Vet Diet State
