Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Contacts,StopProcessing,01-Initial State,Test Rule ZC,Disabled,If (Contacts > Email - Primary  equals  zcordell@chewy.com),Stop Processing
Contacts,StopProcessing,03-Vet Diet State,03- Vet Diet Post OCR2 Processing,Enabled,"If (Incidents > Updated from  equals  Custom PHP, Connect PHP, Custom Process, Custom Process (Async), Oracle Integration  AND (  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  kwallace1@chewy.com  OR  Custom Field > Box Number  equals  forceOCR )  AND  Incidents > Status  equals  Unresolved  AND  Incidents > Queue  equals  Vet Diet Fax Pending OCR  AND  Incidents > Mailbox  equals  Vet Diet  AND  Custom Field > OCR State  equals  OCR Completed, Post OCR Complete, [V2] OCR Completed, [V2] OCR Failed)",Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Route to Andrew Stein,Disabled,If (Contacts > Email - Primary  equals  ejbatema@comcast.net  OR  Contacts > Email - Primary  equals  bhn@elaiproject.org  OR  Contacts > Email - Primary  equals  thinktanky@gmail.com),Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Route to Elliot Basner,Disabled,If (Contacts > Email - Primary  equals  sandra.costello2011@gmail.com),Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Route to Dylan O'Donoghue,Disabled,If (Contacts > Email - Primary  equals  alling.christine.a@gmail.com),Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Route to Execuite Esco,Disabled,If (Contacts > Contact Type  equals  Executive Esco  OR  Contacts > Email - Primary  equals  sandra.costello2011@gmail.com  OR  Contacts > Email - Primary  equals  thatjohnkichi@gmail.com),Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Incorrect Address,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND (  Incidents > Customer thread  match regex  \<1. Incorrect address\>  OR  Incidents > Customer thread  match regex  \<Unable to locate address\>  OR  Incidents > Customer thread  match regex  Contact us at Contact us to provide correct delivery address  OR  Incidents > Customer thread  match regex  Incorrect address )),Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Damaged,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND (  Incidents > Customer thread  match regex  \<1. Damaged\>  OR  Incidents > Customer thread  match regex  \<Damaged in transit \- Unable to deliver shipment\>  OR  Incidents > Customer thread  match regex  Damaged - handling per shipper instructions )),Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Held for pickup,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND  Incidents > Customer thread  match regex  \<Ready for pickup\>),Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Unable to locate Address,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND  Incidents > Customer thread  match regex  \<1. Unable to locate address\>),Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Unable to Deliver Shipment,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND (  Incidents > Customer thread  match regex  \<1. Unable to deliver shipment\>  OR  Incidents > Customer thread  match regex  Shipment was not picked up within required timeframe - Unable to deliver shipment - Returning to shipper  OR  Incidents > Customer thread  match regex  Recommended action: No action is required. The package is being returned to the shipper.  OR  Incidents > Customer thread  match regex  Recommended action : No action is required. The package is being returned to the shipper.  OR  Incidents > Customer thread  match regex  Recommended action : No action is required. The package is being returned to the shipper.  OR  Incidents > Customer thread  match regex  Unable to deliver shipment - Returning to shipper )),Stop Processing
Contacts,StopProcessing,F01-Email Routing,01-Incorrect Address Day 2,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND  Incidents > Customer thread  match regex  \<2. Incorrect Address\>),Stop Processing
